t,omega
50,0.0000000000
101,31.4159984588
152,25.1327991485
203,43.9823989868
254,50.2655982971
306,50.2655982971
357,62.8319969177
408,62.8319969177
459,69.1151962280
510,69.1151962280
562,62.8319969177
613,69.1151962280
664,75.3983993530
715,62.8319969177
766,69.1151962280
818,62.8319969177
869,75.3983993530
920,69.1151962280
971,69.1151962280
1022,69.1151962280
1074,62.8319969177
1125,75.3983993530
1176,69.1151962280
1227,69.1151962280
1278,62.8319969177
1330,81.6816024780
1381,50.2655982971
1432,62.8319969177
1483,75.3983993530
1534,62.8319969177
1586,56.5488014221
1637,69.1151962280
1688,75.3983993530
1739,62.8319969177
1790,62.8319969177
1842,69.1151962280
1893,81.6816024780
1944,69.1151962280
1995,62.8319969177
2046,69.1151962280
2098,69.1151962280
2149,75.3983993530
2200,62.8319969177
2251,62.8319969177
2302,62.8319969177
2354,69.1151962280
2405,62.8319969177
2456,62.8319969177
2507,75.3983993530
2558,75.3983993530
2610,56.5488014221
2661,62.8319969177
2712,87.9647979736
2763,69.1151962280
2814,75.3983993530
2866,62.8319969177
2917,69.1151962280
2968,62.8319969177
3019,75.3983993530
3070,81.6816024780
3122,75.3983993530
3173,62.8319969177
3224,62.8319969177
3275,75.3983993530
3326,62.8319969177
3378,62.8319969177
3429,62.8319969177
3480,69.1151962280
3531,69.1151962280
3582,69.1151962280
3634,75.3983993530
3685,69.1151962280
3736,75.3983993530
3787,69.1151962280
3838,69.1151962280
3890,62.8319969177
3941,81.6816024780
3992,69.1151962280
4043,62.8319969177
4094,75.3983993530
4146,75.3983993530
4197,75.3983993530
4248,62.8319969177
4299,62.8319969177
4350,56.5488014221
4402,81.6816024780
4453,69.1151962280
4504,75.3983993530
4555,69.1151962280
4606,69.1151962280
4658,62.8319969177
4709,75.3983993530
4760,75.3983993530
4811,62.8319969177
4862,62.8319969177
4914,56.5488014221
4965,75.3983993530
5016,69.1151962280
5067,62.8319969177
5118,62.8319969177
5170,75.3983993530
5221,69.1151962280
5272,69.1151962280
5323,69.1151962280
5374,62.8319969177
5426,62.8319969177
5477,69.1151962280
5528,69.1151962280
5579,69.1151962280
5630,75.3983993530
5682,75.3983993530
5733,75.3983993530
5784,62.8319969177
5835,81.6816024780
5886,81.6816024780
5938,62.8319969177
5989,75.3983993530
6040,69.1151962280
6091,75.3983993530
6142,62.8319969177
6194,75.3983993530
6245,62.8319969177
6296,56.5488014221
6347,81.6816024780
6398,62.8319969177
6450,75.3983993530
6501,75.3983993530
6552,69.1151962280
6603,69.1151962280
6654,69.1151962280
6706,75.3983993530
6757,62.8319969177
6808,62.8319969177
6859,75.3983993530
6910,81.6816024780
6962,69.1151962280
7013,75.3983993530
7064,69.1151962280
7115,62.8319969177
7166,69.1151962280
7218,75.3983993530
7269,69.1151962280
7320,75.3983993530
7371,56.5488014221
7422,62.8319969177
7474,81.6816024780
7525,62.8319969177
7576,69.1151962280
7627,62.8319969177
7678,62.8319969177
7730,69.1151962280
7781,56.5488014221
7832,69.1151962280
7883,62.8319969177
7934,56.5488014221
7986,81.6816024780
8037,56.5488014221
8088,69.1151962280
8139,69.1151962280
8190,56.5488014221
8242,69.1151962280
8293,75.3983993530
8344,81.6816024780
8395,62.8319969177
8446,69.1151962280
8498,69.1151962280
8549,75.3983993530
8600,75.3983993530
8651,69.1151962280
8702,56.5488014221
8754,75.3983993530
8805,75.3983993530
8856,62.8319969177
8907,69.1151962280
8958,69.1151962280

